Entity,Code,Year,average_farm_size_ha
American Samoa,ASM,1960,2.331
American Samoa,ASM,1970,2.190327613
American Samoa,ASM,1980,1.824192337
American Samoa,ASM,1990,6.1171875
American Samoa,ASM,2000,1.120524387
Antigua and Barbuda,ATG,1960,2.400208805
Antigua and Barbuda,ATG,1980,0.418779544
Argentina,ARG,1960,371.256533
Argentina,ARG,1990,468.9681914
Argentina,ARG,2000,582.4518943
Australia,AUS,1960,1843.554151
Australia,AUS,1970,1993.000381
Australia,AUS,1980,2818.94786
Australia,AUS,1990,3601.675158
Australia,AUS,2000,3243.210738
Austria,AUT,1960,19.40375758
Austria,AUT,1970,20.67954756
Austria,AUT,1980,24.21140595
Austria,AUT,1990,26.41740053
Austria,AUT,2000,34.11345064
Bahamas,BHS,1980,8.536504946
Bahamas,BHS,1990,11.55454545
Bahrain,BHR,1970,4.329824561
Bahrain,BHR,1980,4.389578164
Bangladesh,BGD,1960,1.36006559
Bangladesh,BGD,1980,1.29685586
Bangladesh,BGD,2000,0.346997986
Barbados,BRB,1960,1.224491258
Barbados,BRB,1970,1.149431905
Barbados,BRB,1990,1.255093725
Belgium,BEL,1960,6.594951493
Belgium,BEL,1970,8.71098068
Belgium,BEL,1980,12.3673466
Belgium,BEL,1990,16.06290434
Belgium,BEL,2000,23.12072598
Belize,BLZ,1970,23.24260296
Belize,BLZ,1980,23.00790119
Brazil,BRA,1960,74.85384721
Brazil,BRA,1970,59.96064654
Brazil,BRA,1980,70.71026295
Brazil,BRA,1990,64.49028781
Brazil,BRA,2000,72.76153679
Canada,CAN,1960,145.1724719
Canada,CAN,1970,187.5387597
Canada,CAN,1980,206.9629006
Canada,CAN,1990,241.9403449
Canada,CAN,2000,273.3804627
Cape Verde,CPV,1980,1.465060625
Cape Verde,CPV,1990,1.285465784
Cape Verde,CPV,2000,0.996697075
Central African Republic,CAF,1960,1.947300216
Central African Republic,CAF,1970,1.733868407
Central African Republic,CAF,1980,0.896407054
Chile,CHL,1960,118.4740061
Chile,CHL,1980,92.41772237
Chile,CHL,2000,83.73786067
Colombia,COL,1960,22.59324545
Colombia,COL,1970,26.33659101
Colombia,COL,1990,23.27990834
Colombia,COL,2000,25.07818309
Congo,COG,1970,1.371390738
Congo,COG,1980,0.989318253
Cook Islands,COK,1990,1.190127971
Cook Islands,COK,2000,0.597908193
Costa Rica,CRI,1960,41.04735385
Costa Rica,CRI,1970,38.28322013
Cote d'Ivoire,CIV,1970,5.0090066
Cote d'Ivoire,CIV,2000,3.893523742
Cyprus,CYP,1980,4.5167333
Cyprus,CYP,1990,3.412620707
Cyprus,CYP,2000,4.361335428
Democratic Republic of Congo,COD,1970,2.323616297
Democratic Republic of Congo,COD,1990,0.533016341
Denmark,DNK,1960,15.93983077
Denmark,DNK,1970,20.97987831
Denmark,DNK,1980,26.40935611
Denmark,DNK,1990,37.76969742
Denmark,DNK,2000,49.77918036
Dominican Republic,DOM,1960,5.051337808
Dominican Republic,DOM,1970,8.976687881
Ecuador,ECU,1970,15.31349365
Ecuador,ECU,2000,14.65902819
Egypt,EGY,1960,1.59186072
Egypt,EGY,1980,0.972683399
Egypt,EGY,1990,0.948720789
Egypt,EGY,2000,0.825802464
El Salvador,SLV,1960,6.96178125
El Salvador,SLV,1970,4.565115818
Ethiopia,ETH,1980,1.430429617
Ethiopia,ETH,1990,0.799597494
Ethiopia,ETH,2000,1.026829892
Fiji,FJI,1970,7.318755407
Fiji,FJI,1980,4.175213933
Fiji,FJI,1990,6.199234801
Finland,FIN,1960,41.23933075
Finland,FIN,1970,50.96674931
Finland,FIN,1980,56.96096938
Finland,FIN,1990,61.88248364
Finland,FIN,2000,72.24448824
France,FRA,1960,18.8490258
France,FRA,1970,22.06995968
France,FRA,1980,26.64901019
France,FRA,1990,31.45851852
France,FRA,2000,45.03949925
French Guiana,GUF,1980,3.326844726
French Guiana,GUF,1990,9.25250501
French Guiana,GUF,2000,6.516547574
Germany,DEU,1960,12.14
Germany,DEU,1970,14.18
Germany,DEU,1980,17.04357028
Germany,DEU,1990,29.3
Germany,DEU,2000,40.46508179
Greece,GRC,1960,3.177100812
Greece,GRC,1970,3.42445429
Greece,GRC,1990,4.49775673
Greece,GRC,2000,4.742834064
Grenada,GRD,1980,1.689587905
Grenada,GRD,1990,0.774963068
Guadeloupe,GLP,1970,3.043539886
Guadeloupe,GLP,1980,3.719101124
Guadeloupe,GLP,1990,3.240108893
Guadeloupe,GLP,2000,3.429276316
Guam,GUM,1960,6.497
Guam,GUM,1970,9.443354148
Guam,GUM,1980,5.793896948
Guam,GUM,1990,15.14245014
Guam,GUM,2000,4.359477124
Guatemala,GTM,1960,8.329641734
Guatemala,GTM,1980,7.798052379
Guatemala,GTM,2000,4.5153813
Guinea-Bissau,GNB,1960,3.019746754
Guinea-Bissau,GNB,1990,1.144310801
Honduras,HND,1970,13.46291357
Honduras,HND,1990,11.16644359
Hungary,HUN,1970,9.311467794
Hungary,HUN,1980,11.65077735
Hungary,HUN,2000,6.668624782
India,IND,1960,2.697782415
India,IND,1970,2.299859561
India,IND,1980,2.00251321
India,IND,1990,1.552059792
India,IND,2000,1.329457688
Indonesia,IDN,1960,1.195938138
Indonesia,IDN,1970,1.140621549
Indonesia,IDN,1980,1.078916766
Indonesia,IDN,1990,0.869696902
Indonesia,IDN,2000,0.791092087
Iran,IRN,1960,6.049251611
Iran,IRN,1990,4.290625737
Iran,IRN,2000,4.07744073
Iraq,IRQ,1960,31.77352964
Iraq,IRQ,1970,9.696708944
Ireland,IRL,1960,16.06532394
Ireland,IRL,1970,20.21828592
Ireland,IRL,1980,26.13933176
Ireland,IRL,1990,26.0394365
Ireland,IRL,2000,33.31427966
Israel,ISR,1970,13.42452126
Israel,ISR,1980,11.30653967
Israel,ISR,1990,14.1889343
Italy,ITA,1960,6.188145785
Italy,ITA,1970,6.94826658
Italy,ITA,1980,7.203636075
Italy,ITA,1990,7.509021798
Italy,ITA,2000,7.568337043
Jamaica,JAM,1960,4.355855346
Jamaica,JAM,1970,3.116787944
Jamaica,JAM,1980,2.918896885
Jamaica,JAM,2000,2.169614092
Japan,JPN,1960,1.179316546
Japan,JPN,1970,1.006439956
Japan,JPN,1980,1.023750242
Japan,JPN,1990,1.239883598
Japan,JPN,2000,1.196804707
Jordan,JOR,1970,7.028209837
Jordan,JOR,1980,5.85989833
Jordan,JOR,2000,3.316796375
Kenya,KEN,1960,11.74399099
Kenya,KEN,1970,4.124589763
Kenya,KEN,1980,2.517100828
Lebanon,LBN,1960,2.391494851
Lebanon,LBN,1970,4.338790429
Lebanon,LBN,2000,1.917579005
Lesotho,LSO,1960,2.191018634
Lesotho,LSO,1970,1.986661047
Lesotho,LSO,1990,1.443523768
Libya,LBY,1960,26.5859069
Libya,LBY,1970,12.97140355
Libya,LBY,1990,14.21941798
Libya,LBY,2000,10.24349874
Luxembourg,LUX,1970,17.7632755
Luxembourg,LUX,1980,25.14227721
Luxembourg,LUX,1990,36.19589798
Luxembourg,LUX,2000,48.96797153
Madagascar,MDG,1960,1.03968254
Madagascar,MDG,1980,1.324090709
Madagascar,MDG,2000,0.857976884
Malawi,MWI,1970,1.538305085
Malawi,MWI,1980,1.172948221
Malawi,MWI,1990,0.747552222
Mali,MLI,1960,4.354988225
Mali,MLI,1980,3.271845763
Malta,MLT,1960,1.537416667
Malta,MLT,1970,1.471720818
Malta,MLT,1980,1.157332229
Malta,MLT,2000,0.971653148
Martinique,MTQ,1980,3.088284882
Martinique,MTQ,1990,3.129567278
Martinique,MTQ,2000,3.985694738
Mexico,MEX,1960,123.8712147
Mexico,MEX,1970,137.1235265
Mexico,MEX,1990,41.42502326
Morocco,MAR,1960,9.826837676
Morocco,MAR,2000,5.83568606
Myanmar,MMR,1990,2.354596981
Myanmar,MMR,2000,2.517084112
